ActorName
Dustin Hoffman
Edward Norton
David Krumholtz
Matthew Broderick
Matthew Broderick
Ronny Cox
Peter Weller
Russell Crowe
Nick Chinlund
Tom Hollander
Johnny Depp
Johnny Depp
Johnny Depp
Johnny Depp
Johnny Depp
Jack Davenport
Brian Blessed
Javier Bardem
Chris Bauer
James Marsden
Takashi Matsuyama
Hayden Christensen
Hayden Christensen
Tom Hiddleston
Wayne Morris
Cameron Diaz
Ashley Tisdale
Martin Sheen
Ryan Gosling
Chia Hui Liu
Jean Hagen
Jean Hagen
John Lynch
William Zabka
William Zabka
Pat Morita
Emilio Estevez
William Petersen
Sean Astin
Kevin Costner
David Carradine
David Carradine
David Carradine
John Cusack
Rowan Atkinson
Cary Grant
Mira Sorvino
Mira Sorvino
Mira Sorvino
Lisa Kudrow
Lisa Kudrow
Mickey Rourke
Roger Allam
Jeff Daniels
Walter Matthau
Jeff Bridges
Jon Heder
Maggie Gyllenhaal
Diane Lane
Michael Douglas
Jonathan Winters
James Spader
Russell Brand
Hugo Weaving
Ivan Sergei
Danny Huston
Oscar Isaac
John Lithgow
Christian Bale
Jeff Bridges
John Larch
Adam Sandler
Glenn Ford
John Wayne
Jeremy Davies
Zack Ward
Martin Short
Matthew Broderick
Robert De Niro
Robert De Niro
Paige O'Hara
Tony Leung Chiu Wai
Tony Leung Chiu Wai
Jet Li
Woody Harrelson
Denzel Washington
Trevor Thomas
Tom Hiddleston
Tom Hiddleston
Josh Peck
Jim Carrey
Jean Harlow
Sabu Dastagir
Ronny Cox
Clint Eastwood
Clint Eastwood
Simon Pegg
Viggo Mortensen
Kevin J. O'Connor
Rachel Weisz
Harvey Keitel
Rachel Hurd-Wood
Harrison Ford
Bill Paxton
Stephen Lang
Owen Wilson
Kevin Kline
Kal Penn
John Cho
Kal Penn
Kal Penn
Ralph Fiennes
Dolph Lundgren
John Malkovich
Jeremy Irons
Clint Eastwood
Eric Christian Olsen
Jude Law
Tom Hanks
Dan O'Herlihy
Tim Roth
Ken Watanabe
Michelle Pfeiffer
Heather Langenkamp
Will Arnett
Christopher Walken
Al Pacino
Jack Nicholson
John Huston
Tom Selleck
Nicole Kidman
Daniel Gillies
Henry Fonda
Charles Bronson
Charles Bronson
Brandon Lee
Jake Gyllenhaal
Daryl Hannah
Jeffrey Jones
Milo Ventimiglia
Crispin Glover
Thomas F. Wilson
Thomas F. Wilson
Ronald Lacey
Harrison Ford
Hugh Jackman
Harrison Ford
Harrison Ford
"Randall ""Tex"" Cobb"
Hugh Jackman
Clint Eastwood
Morgan Freeman
Luke Goss
Daniel Day-Lewis
Harrison Ford
Robert De Niro
Rex Harrison
Paul Reiser
Paul Reiser
Cameron Diaz
Tom Waits
Zac Efron
Ashley Tisdale
Jason Mewes
Adam Sandler
Marilyn Monroe
Alex Winter
Alex Winter
Keanu Reeves
Keanu Reeves
Justin Bartha
Carl Weathers
Günter Lamprecht
Desi Lydic
Desi Lydic
Anne Hathaway
Neve Campbell
Anna Faris
Angus Macfadyen
Christian Bale
Benicio del Toro
Lee Byung-Hun
David Murray
Jesse Eisenberg
Bruce Willis
Orson Welles
Christopher Plummer
Ed Asner
Garrett Hedlund
Naseeruddin Shah
Peta Wilson
Tony Curran
Tony Curran
Stuart Townsend
Stuart Townsend
Shane West
Lee Marvin
Sam Neill
Ashley Tisdale
Chow Yun-Fat
Zhang Ziyi
Anthony Hopkins
Anthony Hopkins
Alicia Silverstone
Alicia Silverstone
Sigourney Weaver
Martin Sheen
Marlon Brando
Sam Bottoms
Rufus Sewell
Jason Robards
Robert Mitchum
Ian McKellen
Deborah Foreman
James McAvoy
Christian Bale
Tom Cruise
Jack Davenport
Tom Hollander
Cillian Murphy
Ricky Gervais
Robert De Niro
Robert De Niro
Clint Eastwood
Wesley Snipes
Gerard Butler
Bob Hoskins
Christopher Lloyd
Kathleen Turner
Errol Flynn
Humphrey Bogart
Ben Stiller
Ralph Fiennes
Craig Bierko
Billy Connolly
Samantha Morton
Richard Gere
Claude Rains
Michael Madsen
Liam Neeson
Ewan McGregor
Jake Lloyd
Jake Lloyd
R. Lee Ermey
Chow Yun-Fat
Adam Sandler
Keanu Reeves
David Niven
Pauly Shore
Viggo Mortensen
Cary Grant
Alexis Dziena
Tom Berenger
Tom Berenger
Ritchie Coster
Val Kilmer
Lionel Barrymore
Lionel Barrymore
Clancy Brown
Brad Pitt
Frank Whaley
Everett McGill
Heath Ledger
Larry Miller
Christopher Lee
Dustin Milligan
Julian McMahon
Robin Williams
Billie Whitelaw
Ian McKellen
Jeff Anderson
Brittany Murphy
Elizabeth Hurley
Michael McShane
Billy Bob Thornton
Marilyn Monroe
Johnny Depp
Isabella Rossellini
Denzel Washington
Arnold Schwarzenegger
Tim Curry
Peter Hinwood
Matthew Broderick
Ricky Nelson
Jesse Metcalfe
Sophia Bush
Eddie Murphy
Jeff Anderson
Cary Grant
Brigitte Auber
Chris Carmack
Jamie Lee Curtis
Fran Kranz
Joseph Fiennes
Jeff Bridges
Bruce Boxleitner
David Warner
Natalie Portman
Kenneth Branagh
Kevin Kline
Anthony Michael Hall
Humphrey Bogart
Tim Robbins
Seth Rogen
Seth Rogen
James Franco
Danny McBride
Amanda Righetti
Edmund Gwenn
Paul Gleason
Simon Pegg
Matt Damon
Clive Owen
Mark Wahlberg
Fred Savage
Lil Dagover
Robbie Gee
Lennie James
Vinnie Jones
Ade
Kevin James
Reese Witherspoon
Warren Oates
Bill Murray
Michael Caine
Forest Whitaker
Forest Whitaker
Leo Fitzpatrick
Bruce Willis
Ted Knight
Ken Watanabe
Seth Rogen
Russell Crowe
Joaquin Phoenix
Ron Perlman
Bruce Campbell
Simon Pegg
Nick Frost
Kevin Peter Hall
Daniel Craig
Elias Koteas
Rick Rossovich
Kristy Swanson
Kristy Swanson
Daniel Craig
Daniel Craig
Daniel Craig
Daniel Craig
Chris Sarandon
Mandy Patinkin
Mandy Patinkin
Mandy Patinkin
André the Giant
Nick Nolte
Michael Caine
Johnny Depp
Johnny Depp
Greg Kinnear
Joe Pesci
Ben Kingsley
Bette Davis
Robert De Niro
Kevin Gage
John Howard
Kevin Kline
Aidan Gillen
Bruce Greenwood
Junjie Qin
Peter Finch
Jason Lee
Pauly Shore
Samuel L. Jackson
Brad Pitt
Guy Pearce
Laurence Olivier
Ray Milland
Robert Downey Jr.
Robert Downey Jr.
Robert Downey Jr.
Morgan Freeman
Richard Roxburgh
Margarita Levieva
Leonardo DiCaprio
Leonardo DiCaprio
Tom Hardy
David Wenham
John Travolta
Ed Helms
Christopher Eccleston
Ben Kingsley
Chris Klein
Chris Klein
David Cross
William H. Macy
Peter Stormare
Kevin Zegers
Humphrey Bogart
Justin Bartha
Mel Gibson
Jeremy Jordan
Jason Statham
Dakota Fanning
Liam Neeson
Val Kilmer
Patricia Hayes
Matt Damon
Alex Karras
Gene Wilder
Anna Faris
Jack Palance
Mr. T
Jason Lee
Jason Lee
Pauly Shore
Rutger Hauer
Tim Robbins
Nicholas Bell
Ricardo Montalbán
Robert De Niro
Kirsten Dunst
Gloria Swanson
James Marsden
Al Pacino
Mary Elizabeth Mastrantonio
Lance Fenton
Cameron Diaz
Linda Hamilton
Denzel Washington
Jeffrey Tambor
Clint Eastwood
Lee Van Cleef
Anna Faris
Kirsten Dunst
Mel Gibson
Harrison Ford
James Earl Jones
Frank Oz
Paul Newman
Robert Redford
Robert Shaw
Horst Buchholz
Stephen Chow
Tom Cruise
John Cusack
Michael Clarke Duncan
Russell Crowe
Peter Sarsgaard
Shih Kien
Martin Lawrence
Anna Faris
Bruce Willis
Hugh Jackman
Seth Rogen
John Cusack
Ryan Reynolds
Sean Penn
Sean Penn
Robert De Niro
Peter Facinelli
Peter Facinelli
Robert De Niro
Christine Taylor
The Rock
Pierce Brosnan
Rick Moranis
Tom Cruise
Omri Katz
Ewan McGregor
Richard White
Richard White
Danny McBride
James Franco
Peter Cullen
Russell Crowe
Russell Crowe
Norman Lloyd
Viggo Mortensen
Clint Eastwood
Steve Guttenberg
James Marsden
Tom Hollander
Teresa Palmer
Leonardo DiCaprio
Busy Philipps
Zachary Levi
Patrick Bergin
Ryan O'Neal
Humphrey Bogart
Jack Black
Jack Black
Mike White
Danny Huston
Danny Huston
