,Freebase_charactermap,Trope,CharacterName,ActorName,ActorAge,ActorDOB,ActorEthnicity Label,ActorGender,ActorHeight,Freebase_actorID,MovieName,Genres,Decade,ReleaseDate,BoxOffice,Freebase_movieID,Wiki_movieID,StrActorEthnicity
399,/m/03ls4jv,evil_character,Aaron Hallam,Benicio del Toro,36.0,1967.0,/m/09v5bdn,M,1.85,/m/01qscs,The Hunted,"['Thriller', 'Crime Fiction', 'Action', 'Drama']",2000.0,2003.0,45496534.0,/m/0330ds,690105,puerto ricans
177,/m/02tb650,mean_officer,Abel Turner,Samuel L. Jackson,60.0,1948.0,/m/0x67,M,1.89,/m/0f5xn,Lakeview Terrace,"['Thriller', 'Crime Thriller', 'Drama', 'Psychological thriller']",2000.0,2008.0,44653637.0,/m/02q2wnw,10133217,african
342,/m/0k6nkk,charismatic_charmer,Abu,Sabu Dastagir,16.0,1924.0,/m/01336l,M,,/m/06k5vz,The Thief of Bagdad,"['Adventure', 'Costume drama', 'Action/Adventure', 'Fantasy', 'Drama', 'Family Film', 'Action']",1940.0,1940.0,,/m/099wbj,3406838,asian
79,/m/0k7ckp,charismatic_charmer,Achilles,Brad Pitt,41.0,1963.0,,M,1.8,/m/0c6qh,Troy,"['Sword and Sandal', 'Adventure', 'Costume drama', 'Historical fiction', 'Epic', 'Action/Adventure', 'History', 'War film', 'Romance Film', 'Action', 'Historical Epic', 'Documentary']",2000.0,2004.0,497409852.0,/m/01vw8k,323715,
329,/m/0k0pgt,laidback_freebird,Agatha,Samantha Morton,25.0,1977.0,/m/02w7gg,F,1.6,/m/02d42t,Minority Report,"['Crime Fiction', 'Thriller', 'Science Fiction', 'Future noir', 'Chase Movie', 'Action/Adventure', 'Mystery', 'Drama', 'Dystopia', 'Film adaptation', 'Action', 'Film noir']",2000.0,2002.0,358372926.0,/m/011wtv,142049,english
105,/m/0k5wz1,mean_officer,Agent Smith,Hugo Weaving,39.0,1960.0,,M,1.88,/m/016ypb,The Matrix,"['Thriller', 'Science Fiction', 'Adventure', 'Doomsday film', 'Existentialism', 'Action/Adventure', 'Martial Arts Film', 'Action']",1990.0,1999.0,463517383.0,/m/07cz2,30007,
152,/m/0k63tb,crazy_jealous_guy,Alisdair Stewart,Sam Neill,46.0,1947.0,/m/02jvpv,M,1.822,/m/01ckhj,The Piano,"['Romantic drama', 'Romance Film', 'Feminist Film', 'Drama', 'Period piece']",1990.0,1993.0,40157856.0,/m/0_b9f,133688,kiwi
181,/m/0k79b3,mean_officer,Alonzo,Denzel Washington,47.0,1954.0,/m/0x67,M,1.84,/m/0pmhf,Training Day,"['Crime Fiction', 'Crime Thriller', 'Drama', 'Adventure', 'Thriller']",2000.0,2001.0,104876233.0,/m/01718w,171623,african
279,/m/0k3t_x,shallow_and_popular,Ana Pascal,Maggie Gyllenhaal,29.0,1977.0,/m/065b6q,F,1.75,/m/023mdt,Stranger Than Fiction,"['Drama', 'Black comedy', 'Fantasy', 'Comedy-drama', 'Comedy']",2000.0,2006.0,53653224.0,/m/0bm2nq,4155050,swedish
75,/m/02sg5ry,charismatic_charmer,Anakin Skywalker,Hayden Christensen,24.0,1981.0,,M,1.87,/m/0f276,Star Wars Episode III: Revenge of the Sith,"['Science Fiction', 'Action', 'Fantasy', 'Tragedy', 'Adventure']",2000.0,2005.0,848754768.0,/m/0fdv3,55447,
100,/m/02sg5rn,tech_genius,Anakin Skywalker,Jake Lloyd,10.0,1989.0,,M,1.7,/m/02p8dm,Star Wars Episode I: The Phantom Menace,"['Science Fiction', 'Action', 'Fantasy', 'Adventure', 'Family Film']",1990.0,1999.0,1027044677.0,/m/0ddt_,50793,
266,/m/02sg5rn,tech_genius,Anakin Skywalker,Jake Lloyd,10.0,1989.0,,M,1.7,/m/02p8dm,Star Wars Episode I: The Phantom Menace,"['Science Fiction', 'Action', 'Fantasy', 'Adventure', 'Family Film']",1990.0,1999.0,1027044677.0,/m/0ddt_,50793,
9,/m/02sg5ry,jock,Anakin Skywalker,Hayden Christensen,24.0,1981.0,,M,1.87,/m/0f276,Star Wars Episode III: Revenge of the Sith,"['Science Fiction', 'Action', 'Fantasy', 'Tragedy', 'Adventure']",2000.0,2005.0,848754768.0,/m/0fdv3,55447,
50,/m/02tbbww,emotional_damage,Annie Newton,Margarita Levieva,27.0,1980.0,,F,1.68,/m/02638yy,The Invisible,"['Thriller', 'Supernatural', 'Psychological thriller', 'Fantasy', 'Drama', 'Crime Thriller', 'Teen']",2000.0,2007.0,26810113.0,/m/09w8wv,3703666,
392,/m/03lgvz6,crazy_fighter,Anton Chigurh,Javier Bardem,38.0,1969.0,/m/03ttfc,M,1.83,/m/01713c,No Country for Old Men,"['Thriller', 'Crime Fiction', 'Gangster Film', 'Drama', 'Suspense', 'Film adaptation', 'Crime Thriller']",2000.0,2007.0,171627166.0,/m/0b6tzs,3920193,spaniards
12,/m/0k2n0d,jock,Apollo Creed,Carl Weathers,28.0,1948.0,/m/0x67,M,1.88,/m/0234pg,Rocky,"['Boxing', 'Sports', 'Drama', 'Romance Film', 'Action', 'New Hollywood']",1970.0,1976.0,225000000.0,/m/0cf08,45772,african
352,/m/0k5scp,skilled_badass,Aragorn,Viggo Mortensen,45.0,1958.0,/m/0dqqwy,M,1.803,/m/01ps2h8,The Lord of the Rings: The Return of the King,"['Fantasy Adventure', 'Adventure', 'Epic', 'Action/Adventure', 'Drama', 'Film adaptation', 'Fantasy', 'Sword and sorcery films']",2000.0,2003.0,1119929521.0,/m/017jd9,174251,danish
431,/m/064yxrp,laidback_freebird,Aram Finklestein,Justin Bartha,31.0,1978.0,/m/041rx,M,1.73,/m/062zhg,The Rebound,"['Romantic comedy', 'Romance Film', 'Comedy']",2000.0,2009.0,,/m/04qbd7f,19920152,jewish
358,/m/0k2ltj,skilled_badass,Archibald Cunningham,Tim Roth,34.0,1961.0,/m/02w7gg,M,1.7,/m/021yzs,Rob Roy,"['Swashbuckler films', 'Costume drama', 'Action/Adventure', 'Period piece', 'History', 'War film', 'Drama', 'Biographical film', 'Action', 'Romance Film']",1990.0,1995.0,31596911.0,/m/033_m2,701781,english
268,/m/0k82tg,tech_genius,Artemus Gordon,Kevin Kline,52.0,1947.0,/m/01qhm_,M,1.88,/m/01gbn6,Wild Wild West,"['Science Fiction', 'Buddy film', 'Comedy Western', 'Western', 'Adventure Comedy', 'Comedy', 'Action', 'Adventure']",1990.0,1999.0,222105681.0,/m/01kff7,244610,german
187,/m/0ghdkxh,dumb_and_clumsy,Arthur Bach,Russell Brand,36.0,1975.0,/m/02w7gg,M,1.85,/m/06crng,Arthur,"['Romantic comedy', 'Romance Film', 'Remake', 'Comedy']",2010.0,2011.0,33035397.0,/m/0crgr4d,28485791,english
488,/m/0k66rt,skilled_badass,Arthur Burns,Danny Huston,43.0,1962.0,,M,1.88,/m/07vc_9,The Proposition,"['Crime Fiction', 'World cinema', 'Costume drama', 'Period piece', 'Psychological thriller', 'Action/Adventure', 'Western', 'Drama']",2000.0,2005.0,,/m/08c4yn,2912982,
164,/m/0k66rt,skilled_badass,Arthur Burns,Danny Huston,43.0,1962.0,,M,1.88,/m/07vc_9,The Proposition,"['Crime Fiction', 'World cinema', 'Costume drama', 'Period piece', 'Psychological thriller', 'Action/Adventure', 'Western', 'Drama']",2000.0,2005.0,,/m/08c4yn,2912982,
277,/m/0k1m4g,shallow_and_popular,Ashley,Schuyler Fisk,20.0,1982.0,,F,1.65,/m/05gcdd,Orange County,"['Coming of age', 'Comedy', 'Teen']",2000.0,2002.0,41032915.0,/m/028kj0,438417,
218,/m/02vbpft,old_wise_quirky,Aughra,Billie Whitelaw,50.0,1932.0,,F,,/m/04jlgp,The Dark Crystal,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Animation', 'Fantasy', ""Children's Fantasy"", 'Family Film']",1980.0,1982.0,40577001.0,/m/01yz89,348292,
319,/m/0k1cs5,jock,Austin,Eric Christian Olsen,24.0,1977.0,/m/07hwkr,M,1.88,/m/0959pn,Not Another Teen Movie,"['Parody', 'Sex comedy', 'Gross-out film', 'Comedy', 'Gross out', 'Teen']",2000.0,2001.0,66468332.0,/m/057jzt,1519350,white
108,/m/0k2w67,mean_officer,B.Z.,John Lithgow,40.0,1945.0,/m/07bch9,M,1.93,/m/01yk13,Santa Claus: The Movie,"['Adventure', ""Children's/Family"", 'Holiday Film', ""Children's"", 'Fantasy', ""Children's Fantasy"", 'Family Film', 'Family-Oriented Adventure']",1980.0,1985.0,23717291.0,/m/079xmk,2406759,scottish
52,/m/05ckj7h,sidekick,Banky Edwards,Jason Lee,27.0,1970.0,,M,1.87,/m/034np8,Chasing Amy,"['LGBT', 'Romantic comedy', 'Sex comedy', 'Indie', 'Comedy-drama', 'Drama', 'Comedy', 'Romance Film']",1990.0,1997.0,12021272.0,/m/0gd92,60293,
30,/m/0k6bqx,crazy_fighter,Beck,The Rock,31.0,1972.0,/m/07j80c,M,1.96,/m/014g_s,The Rundown,"['Thriller', 'Buddy film', 'Adventure', 'Jungle Film', 'Action Comedy', 'Action/Adventure', 'Adventure Comedy', 'Comedy', 'Action']",2000.0,2003.0,80916492.0,/m/01pvs1,284697,samoan
192,/m/0fprkm7,loser,Belle,Paige O'Hara,41.0,1956.0,,F,,/m/03wbb8,Beauty and the Beast: The Enchanted Christmas,"[""Children's/Family"", 'Animation', 'Christmas movie', 'Fantasy', ""Children's Fantasy"", 'Animated Musical']",1990.0,1997.0,,/m/02fpqm,481293,
467,/m/0jt9_0,mean_officer,Ben Bradlee,Jason Robards,54.0,1922.0,,M,1.765,/m/01tcf7,All the President's Men,"['Thriller', 'History', 'Drama', 'Political drama', 'Docudrama']",1970.0,1976.0,70600000.0,/m/0b4lkx,3876620,
424,/m/0j_ks0,laidback_freebird,Ben Stone,Seth Rogen,25.0,1982.0,/m/041rx,M,1.797,/m/05txrz,Knocked Up,"['Romantic comedy', 'Sex comedy', 'Drama', 'Comedy', 'Stoner film', 'Romance Film']",2000.0,2007.0,219076518.0,/m/0bvn25,4295195,jewish
236,/m/03hqy08,skilled_badass,Ben Wade,Russell Crowe,43.0,1964.0,/m/05748,M,1.8,/m/06dv3,3:10 to Yuma,"['Crime Fiction', 'Thriller', 'Action/Adventure', 'Western', 'Drama', 'Suspense', 'Action']",2000.0,2007.0,70016220.0,/m/0btbyn,4270540,māori
134,/m/03jskk3,loser,Beni Gabor,Kevin J. O'Connor,36.0,1963.0,,M,1.85,/m/09t254,The Mummy,"['Action', 'Fantasy', 'Adventure']",1990.0,1999.0,415933406.0,/m/01ln5z,253828,
283,/m/0j_6h2,shallow_and_popular,Beth,Sophia Bush,24.0,1982.0,/m/0222qb,F,1.63,/m/05jv50,John Tucker Must Die,"['Romantic comedy', 'Romance Film', 'Comedy', 'Teen']",2000.0,2006.0,68824526.0,/m/0d2fvy,5095233,italians
60,/m/0jty60,jock,Biff Tannen,Thomas F. Wilson,26.0,1959.0,,M,1.91,/m/03d_qmm,Back to the Future,"['Science Fiction', 'Adventure', 'Americana', 'Humour', 'Comedy', 'Time travel', 'Sci-Fi Adventure', 'Family Film']",1980.0,1985.0,383874862.0,/m/0bt4g,42993,
323,/m/0jty60,jock,Biff Tannen,Thomas F. Wilson,26.0,1959.0,,M,1.91,/m/03d_qmm,Back to the Future,"['Science Fiction', 'Adventure', 'Americana', 'Humour', 'Comedy', 'Time travel', 'Sci-Fi Adventure', 'Family Film']",1980.0,1985.0,383874862.0,/m/0bt4g,42993,
297,/m/0j_fvv,emotional_damage,Bill,David Carradine,67.0,1936.0,/m/07bch9,M,1.85,/m/02p5hf,Kill Bill Volume 1,"['Thriller', 'Spaghetti Western', 'Action/Adventure', 'Martial Arts Film', 'Drama', 'Crime Thriller', 'Action']",2000.0,2003.0,180949045.0,/m/01rxyb,301314,scottish
353,/m/0j_fvv,skilled_badass,Bill,David Carradine,67.0,1936.0,/m/07bch9,M,1.85,/m/02p5hf,Kill Bill Volume 1,"['Thriller', 'Spaghetti Western', 'Action/Adventure', 'Martial Arts Film', 'Drama', 'Crime Thriller', 'Action']",2000.0,2003.0,180949045.0,/m/01rxyb,301314,scottish
148,/m/0j_fvv,crazy_jealous_guy,Bill,David Carradine,67.0,1936.0,/m/07bch9,M,1.85,/m/02p5hf,Kill Bill Volume 1,"['Thriller', 'Spaghetti Western', 'Action/Adventure', 'Martial Arts Film', 'Drama', 'Crime Thriller', 'Action']",2000.0,2003.0,180949045.0,/m/01rxyb,301314,scottish
63,/m/0jynbm,charismatic_charmer,Bill 'The Butcher' Cutting,Daniel Day-Lewis,45.0,1957.0,/m/041rx,M,1.87,/m/016yvw,Gangs of New York,"['Crime Fiction', 'Gangster Film', 'Costume drama', 'Historical fiction', 'Epic', 'Period piece', 'Drama', 'Political drama', 'Historical drama']",2000.0,2002.0,193772504.0,/m/019vhk,188902,jewish
278,/m/06679y8,shallow_and_popular,Bill Django,Jeff Bridges,60.0,1949.0,,M,1.85,/m/0flw6,The Men Who Stare at Goats,"['Parody', 'Film adaptation', 'Political satire', 'Comedy', 'War film', 'Political cinema']",2000.0,2009.0,67348218.0,/m/0660b9b,23322195,
455,/m/0jvcqm,laidback_freebird,"Bill S. Preston, Esq.",Alex Winter,24.0,1965.0,/m/041rx,M,,/m/04xjzx,Bill & Ted's Excellent Adventure,"['Science Fiction', 'Buddy film', 'Adventure', 'Fantasy', 'Comedy', 'Time travel', 'Sci-Fi Adventure', 'Family Film', 'Teen']",1980.0,1989.0,40485039.0,/m/014z96,23808966,jewish
443,/m/0jvcqm,laidback_freebird,"Bill S. Preston, Esq.",Alex Winter,24.0,1965.0,/m/041rx,M,,/m/04xjzx,Bill & Ted's Excellent Adventure,"['Science Fiction', 'Buddy film', 'Adventure', 'Fantasy', 'Comedy', 'Time travel', 'Sci-Fi Adventure', 'Family Film', 'Teen']",1980.0,1989.0,40485039.0,/m/014z96,23808966,jewish
348,/m/0jvh78,skilled_badass,Blade,Wesley Snipes,36.0,1962.0,/m/0x67,M,1.753,/m/02lymt,Blade,"['Thriller', 'Horror', 'Superhero movie', 'Action/Adventure', 'Fantasy', 'Archives and records', 'Action']",1990.0,1998.0,131183530.0,/m/02djzj,471544,african
140,/m/0850_tx,crazy_jealous_guy,Blue,Oscar Isaac,31.0,1980.0,,M,1.82,/m/0czv3f,Sucker Punch,"['Thriller', 'Psychological thriller', 'Action/Adventure', 'Period piece', 'Fantasy', 'Comedy', 'Action']",2010.0,2011.0,89792502.0,/m/07sc6nw,21843425,
325,/m/0jwwhw,jock,Bo,Milo Ventimiglia,27.0,1977.0,/m/033tf_,M,1.78,/m/03mt30,Cursed,"['Thriller', 'Horror', 'Comedy']",2000.0,2004.0,29621722.0,/m/04mgt3,1253851,irish
306,/m/0256cyz,loser,Bobby Davis,Martin Lawrence,42.0,1965.0,/m/0x67,M,1.71,/m/02633g,Wild Hogs,"['Biker Film', 'Buddy film', 'Adventure', 'Road movie', 'Action/Adventure', 'Comedy', 'Action']",2000.0,2007.0,253625427.0,/m/0f1vgm,5733558,african
144,/m/0g9k2p6,crazy_jealous_guy,Bobby Tennison,Fred Savage,20.0,1976.0,/m/041rx,M,1.78,/m/031_b,No One Would Tell,"['Crime Fiction', 'Thriller', 'Drama', 'Teen', 'Television movie']",1990.0,1996.0,,/m/06zmc33,23767889,jewish
41,/m/03lvf22,dumb_and_clumsy,Brace Channing,Elizabeth Hurley,34.0,1965.0,/m/02w7gg,F,1.73,/m/01pnn3,My Favorite Martian,"['Science Fiction', 'Family Film', 'Comedy']",1990.0,1999.0,36850101.0,/m/026hpg_,7887331,english
35,/m/0b3trzf,dumb_and_clumsy,Brad,Dustin Milligan,24.0,1985.0,,M,1.79,/m/0fg6jn,Extract,"['Crime Fiction', 'Parody', 'Indie', 'Workplace Comedy', 'Comedy', 'Romance Film']",2000.0,2009.0,10848783.0,/m/04lfwh3,19221106,
73,/m/02vczvr,charismatic_charmer,Brand Hauser,John Cusack,42.0,1966.0,/m/033tf_,M,1.87,/m/01gkmx,War Inc.,"['Thriller', 'Political satire', 'Satire', 'Action', 'Comedy']",2000.0,2008.0,580862.0,/m/025_lpc,7369863,irish
208,/m/059sp8v,dumb_and_clumsy,Brandi,Anna Faris,33.0,1976.0,/m/07bch9,F,1.65,/m/01pk3z,Observe and Report,"['Crime Fiction', 'Black comedy', 'Drama', 'Comedy']",2000.0,2009.0,26973554.0,/m/047m6mv,17916735,scottish
239,/m/0k0hyr,skilled_badass,Bret Maverick,Mel Gibson,38.0,1956.0,/m/03gskx0,M,1.77,/m/0c1pj,Maverick,"['Thriller', 'Buddy film', 'Adventure', 'Costume drama', 'Action/Adventure', 'Western', 'Drama', 'Comedy', 'Action', 'Comedy Western']",1990.0,1994.0,183031272.0,/m/021jdm,380517,australian
