,Freebase_charactermap,Trope,CharacterName,ActorName,ActorAge,ActorDOB,ActorEthnicity Label,ActorGender,ActorHeight,Freebase_actorID,MovieName,Genres,Decade,ReleaseDate,BoxOffice,Freebase_movieID,Wiki_movieID,StrActorEthnicity
70,/m/0h5m_9x,charismatic_charmer,Britt Reid,Seth Rogen,29.0,1982.0,/m/041rx,M,1.797,/m/05txrz,The Green Hornet,"['Thriller', 'Crime Fiction', 'Superhero movie', 'Action/Adventure', 'Martial Arts Film', 'Comedy', 'Action']",2010.0,2011.0,227817248.0,/m/07k8rt4,24195690,jewish
53,/m/07ldy8x,sidekick,Brodie Bruce,Jason Lee,25.0,1970.0,,M,1.87,/m/034np8,Mallrats,"['Romantic comedy', 'Romance Film', 'Comedy of manners', 'Buddy film', 'Comedy']",1990.0,1995.0,2122561.0,/m/01jc1h,236651,
422,/m/07ldy8x,laidback_freebird,Brodie Bruce,Jason Lee,25.0,1970.0,,M,1.87,/m/034np8,Mallrats,"['Romantic comedy', 'Romance Film', 'Comedy of manners', 'Buddy film', 'Comedy']",1990.0,1995.0,2122561.0,/m/01jc1h,236651,
349,/m/0jzcrb,skilled_badass,Broken Sword,Tony Leung Chiu Wai,40.0,1962.0,/m/03bx0k4,M,1.71,/m/01f873,Hero,"['Action/Adventure', 'Wuxia', 'Martial Arts Film', 'Chinese Movies', 'World cinema']",2000.0,2002.0,177394432.0,/m/01v5rj,318542,hongkongers
490,/m/0jzcrb,skilled_badass,Broken Sword,Tony Leung Chiu Wai,40.0,1962.0,/m/03bx0k4,M,1.71,/m/01f873,Hero,"['Action/Adventure', 'Wuxia', 'Martial Arts Film', 'Chinese Movies', 'World cinema']",2000.0,2002.0,177394432.0,/m/01v5rj,318542,hongkongers
298,/m/0n4g1dv,emotional_damage,Bruce Wayne,Christian Bale,38.0,1974.0,/m/02w7gg,M,1.83,/m/01wy5m,The Dark Knight Rises,"['Crime Fiction', 'Thriller', 'Action', 'Drama']",2010.0,2012.0,1078008948.0,/m/0bpm4yw,29075630,english
461,/m/02vcwzp,laidback_freebird,Bud Macintosh,Pauly Shore,28.0,1968.0,/m/041rx,M,1.71,/m/01sbhvd,Bio-Dome,"['Gross out', 'Gross-out film', 'Comedy', 'Slapstick']",1990.0,1996.0,13427615.0,/m/06v9zs,2198940,jewish
157,/m/0j_n0t,crazy_jealous_guy,Bud White,Russell Crowe,33.0,1964.0,/m/05748,M,1.8,/m/06dv3,L.A. Confidential,"['Thriller', 'Mystery', 'Crime Fiction', 'Drama']",1990.0,1997.0,126216940.0,/m/011yqc,142457,māori
38,/m/0jvy0r,dumb_and_clumsy,Buffy Summers,Kristy Swanson,23.0,1969.0,/m/065b6q,F,1.676,/m/0337zp,Buffy the Vampire Slayer,"['Action', 'Horror', 'Comedy', 'Horror Comedy']",1990.0,1992.0,16624456.0,/m/01cbx,4231,swedish
485,/m/0jvy0r,shallow_and_popular,Buffy Summers,Kristy Swanson,23.0,1969.0,/m/065b6q,F,1.676,/m/0337zp,Buffy the Vampire Slayer,"['Action', 'Horror', 'Comedy', 'Horror Comedy']",1990.0,1992.0,16624456.0,/m/01cbx,4231,swedish
386,/m/0k3gbw,crazy_fighter,Bullet Tooth Tony,Vinnie Jones,35.0,1965.0,/m/02w7gg,M,1.88,/m/01lqnff,Snatch,"['Crime Fiction', 'Thriller', 'Gangster Film', 'Heist', 'Action/Adventure', 'Comedy', 'Crime Thriller', 'Black comedy', 'Action']",2000.0,2000.0,83557872.0,/m/034hwx,707808,english
405,/m/04ky2tz,old_wise_quirky,Butch Cassidy,Paul Newman,44.0,1925.0,/m/027n1m6,M,1.77,/m/0d6d2,Butch Cassidy and the Sundance Kid,"['Buddy film', 'Adventure', 'Outlaw', 'Action/Adventure', 'Western', 'Drama', 'Comedy', 'Action', 'New Hollywood']",1960.0,1969.0,102308889.0,/m/0p9tm,99031,slovak
296,/m/0jx253,old_wise_quirky,Capt. 'Rip' Murdock,Humphrey Bogart,48.0,1899.0,/m/07mqps,M,1.74,/m/03n6r,Dead Reckoning,"['Thriller', 'Crime Fiction', 'Black-and-white', 'Mystery', 'Drama', 'Suspense', 'Crime Thriller', 'Film noir']",1940.0,1947.0,,/m/066177,1918678,dutch
248,/m/0k6nwg,respected_leader,Capt. James 'Bugger' Staros,Elias Koteas,37.0,1961.0,/m/067lrj,M,1.791,/m/073w14,The Thin Red Line,"['Existentialism', 'Drama', 'Indie', 'War film']",1990.0,1998.0,98126565.0,/m/011ysn,142465,greek canadians
346,/m/05286qg,charismatic_charmer,Capt. Louis Renault,Claude Rains,53.0,1889.0,,M,1.69,/m/0h1q6,Casablanca,"['Black-and-white', 'Drama', 'War film', 'Romantic drama', 'Romance Film', 'Airplanes and airports']",1940.0,1942.0,3700000.0,/m/0ft18,57585,
255,/m/0j_9gv,respected_leader,Capt. Mikhail Polenin,Liam Neeson,50.0,1952.0,/m/03bkbh,M,1.93,/m/0h5g_,K-19: The Widowmaker,"['Thriller', 'Action Thrillers', 'History', 'Action/Adventure', 'Period piece', 'Drama', 'Suspense', 'War film', 'Action', 'Political drama']",2000.0,2002.0,65716126.0,/m/0bw20,43307,irish
254,/m/0k35w2,respected_leader,Capt. Nathan Cutting Brittles,John Wayne,42.0,1907.0,/m/063k3h,M,1.93,/m/043gj,She Wore a Yellow Ribbon,"['Action/Adventure', 'Western', 'Cavalry Film', 'War film']",1940.0,1949.0,,/m/09dzvh,3466023,scotch-irish
251,/m/0jtp2f,respected_leader,Captain Benjamin L. Willard,Martin Sheen,39.0,1940.0,/m/042gtr,M,1.7,/m/0hvb2,Apocalypse Now,"['Anti-war', 'Adventure', 'Existentialism', 'Jungle Film', 'Drama', 'War film', 'Anti-war film', 'New Hollywood']",1970.0,1979.0,78784010.0,/m/0jzw,18951054,spanish
68,/m/0k1xxm,charismatic_charmer,Captain Jack Sparrow,Johnny Depp,43.0,1963.0,/m/01qhm_,M,1.78,/m/0jfx1,Pirates of the Caribbean: Dead Man's Chest,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Fantasy', 'Adventure Comedy', 'Action']",2000.0,2006.0,,/m/03y0pn,999394,german
135,/m/0k1xxm,loser,Captain Jack Sparrow,Johnny Depp,43.0,1963.0,/m/01qhm_,M,1.78,/m/0jfx1,Pirates of the Caribbean: Dead Man's Chest,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Fantasy', 'Adventure Comedy', 'Action']",2000.0,2006.0,,/m/03y0pn,999394,german
95,/m/0k1xxm,charismatic_charmer,Captain Jack Sparrow,Johnny Depp,43.0,1963.0,/m/01qhm_,M,1.78,/m/0jfx1,Pirates of the Caribbean: Dead Man's Chest,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Fantasy', 'Adventure Comedy', 'Action']",2000.0,2006.0,,/m/03y0pn,999394,german
476,/m/0k1xxm,evil_character,Captain Jack Sparrow,Johnny Depp,43.0,1963.0,/m/01qhm_,M,1.78,/m/0jfx1,Pirates of the Caribbean: Dead Man's Chest,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Fantasy', 'Adventure Comedy', 'Action']",2000.0,2006.0,,/m/03y0pn,999394,german
344,/m/0k1xxm,charismatic_charmer,Captain Jack Sparrow,Johnny Depp,43.0,1963.0,/m/01qhm_,M,1.78,/m/0jfx1,Pirates of the Caribbean: Dead Man's Chest,"['Swashbuckler films', 'Fantasy Adventure', 'Adventure', 'Fantasy', 'Adventure Comedy', 'Action']",2000.0,2006.0,,/m/03y0pn,999394,german
256,/m/0k5nrw,respected_leader,Captain Nemo,Naseeruddin Shah,53.0,1950.0,/m/0dryh9k,M,1.78,/m/087z12,The League of Extraordinary Gentlemen,"['Thriller', 'Science Fiction', 'Fantasy Adventure', 'Superhero movie', 'Superhero', 'Action/Adventure', 'Fantasy', 'Action', 'Steampunk']",2000.0,2003.0,179265204.0,/m/0bl3nn,4138142,indian
365,/m/0gkcn1g,respected_leader,Captain Nicholls,Tom Hiddleston,30.0,1981.0,,M,1.87,/m/03h4d3v,War Horse,"['Drama', 'Period piece', 'Coming of age', 'War film']",2010.0,2011.0,177059441.0,/m/0cc5qkt,27754718,
250,/m/0j47kxy,respected_leader,Captain of the 'Weser',Günter Lamprecht,51.0,1930.0,,M,,/m/0jv84r,Das Boot,"['Thriller', 'World cinema', 'History', 'Action/Adventure', 'Drama', 'War film', 'Action']",1980.0,1981.0,84970337.0,/m/02h22,8994,
286,/m/045_cb3,mean_officer,Carl Fredricksen,Ed Asner,80.0,1929.0,,M,1.7,/m/02tkzn,Up,"['Adventure', 'Animation', 'Drama', 'Comedy', 'Fantasy', 'Family Film']",2000.0,2009.0,731342744.0,/m/02rn00y,11659396,
132,/m/0jt8n6,loser,Carter Burke,Paul Reiser,29.0,1957.0,/m/041rx,M,1.78,/m/01y0y6,Aliens,"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Stop motion', 'Sci-Fi Horror', 'Creature Film', 'Action/Adventure', 'Action']",1980.0,1986.0,131060248.0,/m/01f8hf,213472,jewish
125,/m/0jt8n6,mean_officer,Carter Burke,Paul Reiser,29.0,1957.0,/m/041rx,M,1.78,/m/01y0y6,Aliens,"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Stop motion', 'Sci-Fi Horror', 'Creature Film', 'Action/Adventure', 'Action']",1980.0,1986.0,131060248.0,/m/01f8hf,213472,jewish
328,/m/040kc5w,laidback_freebird,Cassie Holmes,Dakota Fanning,15.0,1994.0,/m/01qhm_,F,1.63,/m/0fthdk,Push,"['Thriller', 'Science Fiction', 'Action']",2000.0,2009.0,48808215.0,/m/03bzwns,13237979,german
222,/m/045_c9z,evil_character,Charles Muntz,Christopher Plummer,80.0,1929.0,/m/044038p,M,1.778,/m/01ycbq,Up,"['Adventure', 'Animation', 'Drama', 'Comedy', 'Fantasy', 'Family Film']",2000.0,2009.0,731342744.0,/m/02rn00y,11659396,
112,/m/02vclwl,mean_officer,Charles Travis,Bruce Campbell,37.0,1958.0,,M,1.85,/m/01h8f,Congo,"['Thriller', 'Horror', 'Adventure', 'Jungle Film', 'Action/Adventure', 'Film adaptation', 'Action']",1990.0,1995.0,152022101.0,/m/03tn80,961437,
47,/m/0j_wlm,emotional_damage,Chelsea Deardon,Daryl Hannah,26.0,1960.0,,F,1.78,/m/01xv77,Legal Eagles,"['Thriller', 'Crime Fiction', 'Comedy Thriller', 'Mystery', 'Comedy', 'Courtroom Comedy', 'Legal drama', 'Romance Film', 'Romantic comedy', 'Courtroom Drama']",1980.0,1986.0,93151591.0,/m/09yxrl,3748765,
480,/m/0jwjsy,shallow_and_popular,Cher Horowitz,Alicia Silverstone,19.0,1976.0,/m/041rx,F,1.65,/m/0j5q3,Clueless,"['Romantic comedy', 'LGBT', 'Comedy of manners', 'Coming of age', 'Comedy', 'Romance Film', 'Teen']",1990.0,1995.0,56631572.0,/m/0qjzd,105872,jewish
